"","Crop","PlantingMonth","Release Field Month","SameYearRelease","CropMonth","CropMonthRelease","YieldPerUnitOfField","Field","Measure","Available","Year","CropMonthYear","CropMonthYearField","FieldYearMonthRelease","varID","Family","Is Annual or Perennial?","Is Same Crop As","Is Heavy Feeder?","Is Weed Contributor?","Is Nitrogen Fixer?","Is Cover Crop?","MonthsBetweenPlantings","MonthsInField"
"18","Potatoes - Early","Apr","Jun",TRUE,"Potatoes - Early-Apr","Potatoes - Early-6",2,"Row 1","Row Feet",25,"4","Potatoes - Early-Apr-4","Potatoes - Early-Apr-4-Row 1","Row 1-4-Jun","cpmy_18","Solanaceae","A","Potatoes","N","N","N","N",12,2
"19","Peppers","May","Sep",TRUE,"Peppers-May","Peppers-9",1.2,"Row 1","Row Feet",25,"4","Peppers-May-4","Peppers-May-4-Row 1","Row 1-4-Sep","cpmy_19","Solanaceae","A","Peppers","Y","Y","N","N",12,4
"20","Potatoes - Early","May","Jul",TRUE,"Potatoes - Early-May","Potatoes - Early-7",2,"Row 1","Row Feet",25,"4","Potatoes - Early-May-4","Potatoes - Early-May-4-Row 1","Row 1-4-Jul","cpmy_20","Solanaceae","A","Potatoes","N","N","N","N",12,2
"21","Potatoes - Early","Mar","May",TRUE,"Potatoes - Early-Mar","Potatoes - Early-5",2,"Row 2","Row Feet",25,"1","Potatoes - Early-Mar-1","Potatoes - Early-Mar-1-Row 2","Row 2-1-May","cpmy_21","Solanaceae","A","Potatoes","N","N","N","N",12,2
"22","Peppers","Apr","Aug",TRUE,"Peppers-Apr","Peppers-8",1.2,"Row 2","Row Feet",25,"1","Peppers-Apr-1","Peppers-Apr-1-Row 2","Row 2-1-Aug","cpmy_22","Solanaceae","A","Peppers","Y","Y","N","N",12,4
"23","Potatoes - Early","Apr","Jun",TRUE,"Potatoes - Early-Apr","Potatoes - Early-6",2,"Row 2","Row Feet",25,"1","Potatoes - Early-Apr-1","Potatoes - Early-Apr-1-Row 2","Row 2-1-Jun","cpmy_23","Solanaceae","A","Potatoes","N","N","N","N",12,2
"24","Peppers","May","Sep",TRUE,"Peppers-May","Peppers-9",1.2,"Row 2","Row Feet",25,"1","Peppers-May-1","Peppers-May-1-Row 2","Row 2-1-Sep","cpmy_24","Solanaceae","A","Peppers","Y","Y","N","N",12,4
"25","Potatoes - Early","May","Jul",TRUE,"Potatoes - Early-May","Potatoes - Early-7",2,"Row 2","Row Feet",25,"1","Potatoes - Early-May-1","Potatoes - Early-May-1-Row 2","Row 2-1-Jul","cpmy_25","Solanaceae","A","Potatoes","N","N","N","N",12,2
"26","Potatoes - Early","Mar","May",TRUE,"Potatoes - Early-Mar","Potatoes - Early-5",2,"Row 2","Row Feet",25,"2","Potatoes - Early-Mar-2","Potatoes - Early-Mar-2-Row 2","Row 2-2-May","cpmy_26","Solanaceae","A","Potatoes","N","N","N","N",12,2
"27","Peppers","Apr","Aug",TRUE,"Peppers-Apr","Peppers-8",1.2,"Row 2","Row Feet",25,"2","Peppers-Apr-2","Peppers-Apr-2-Row 2","Row 2-2-Aug","cpmy_27","Solanaceae","A","Peppers","Y","Y","N","N",12,4
"28","Potatoes - Early","Apr","Jun",TRUE,"Potatoes - Early-Apr","Potatoes - Early-6",2,"Row 2","Row Feet",25,"2","Potatoes - Early-Apr-2","Potatoes - Early-Apr-2-Row 2","Row 2-2-Jun","cpmy_28","Solanaceae","A","Potatoes","N","N","N","N",12,2
"29","Peppers","May","Sep",TRUE,"Peppers-May","Peppers-9",1.2,"Row 2","Row Feet",25,"2","Peppers-May-2","Peppers-May-2-Row 2","Row 2-2-Sep","cpmy_29","Solanaceae","A","Peppers","Y","Y","N","N",12,4
"30","Potatoes - Early","May","Jul",TRUE,"Potatoes - Early-May","Potatoes - Early-7",2,"Row 2","Row Feet",25,"2","Potatoes - Early-May-2","Potatoes - Early-May-2-Row 2","Row 2-2-Jul","cpmy_30","Solanaceae","A","Potatoes","N","N","N","N",12,2
"31","Potatoes - Early","Mar","May",TRUE,"Potatoes - Early-Mar","Potatoes - Early-5",2,"Row 2","Row Feet",25,"3","Potatoes - Early-Mar-3","Potatoes - Early-Mar-3-Row 2","Row 2-3-May","cpmy_31","Solanaceae","A","Potatoes","N","N","N","N",12,2
"32","Peppers","Apr","Aug",TRUE,"Peppers-Apr","Peppers-8",1.2,"Row 2","Row Feet",25,"3","Peppers-Apr-3","Peppers-Apr-3-Row 2","Row 2-3-Aug","cpmy_32","Solanaceae","A","Peppers","Y","Y","N","N",12,4
"33","Potatoes - Early","Apr","Jun",TRUE,"Potatoes - Early-Apr","Potatoes - Early-6",2,"Row 2","Row Feet",25,"3","Potatoes - Early-Apr-3","Potatoes - Early-Apr-3-Row 2","Row 2-3-Jun","cpmy_33","Solanaceae","A","Potatoes","N","N","N","N",12,2
"34","Peppers","May","Sep",TRUE,"Peppers-May","Peppers-9",1.2,"Row 2","Row Feet",25,"3","Peppers-May-3","Peppers-May-3-Row 2","Row 2-3-Sep","cpmy_34","Solanaceae","A","Peppers","Y","Y","N","N",12,4
"35","Potatoes - Early","May","Jul",TRUE,"Potatoes - Early-May","Potatoes - Early-7",2,"Row 2","Row Feet",25,"3","Potatoes - Early-May-3","Potatoes - Early-May-3-Row 2","Row 2-3-Jul","cpmy_35","Solanaceae","A","Potatoes","N","N","N","N",12,2
"36","Potatoes - Early","Mar","May",TRUE,"Potatoes - Early-Mar","Potatoes - Early-5",2,"Row 2","Row Feet",25,"4","Potatoes - Early-Mar-4","Potatoes - Early-Mar-4-Row 2","Row 2-4-May","cpmy_36","Solanaceae","A","Potatoes","N","N","N","N",12,2
"37","Peppers","Apr","Aug",TRUE,"Peppers-Apr","Peppers-8",1.2,"Row 2","Row Feet",25,"4","Peppers-Apr-4","Peppers-Apr-4-Row 2","Row 2-4-Aug","cpmy_37","Solanaceae","A","Peppers","Y","Y","N","N",12,4
"38","Potatoes - Early","Apr","Jun",TRUE,"Potatoes - Early-Apr","Potatoes - Early-6",2,"Row 2","Row Feet",25,"4","Potatoes - Early-Apr-4","Potatoes - Early-Apr-4-Row 2","Row 2-4-Jun","cpmy_38","Solanaceae","A","Potatoes","N","N","N","N",12,2
"39","Peppers","May","Sep",TRUE,"Peppers-May","Peppers-9",1.2,"Row 2","Row Feet",25,"4","Peppers-May-4","Peppers-May-4-Row 2","Row 2-4-Sep","cpmy_39","Solanaceae","A","Peppers","Y","Y","N","N",12,4
"40","Potatoes - Early","May","Jul",TRUE,"Potatoes - Early-May","Potatoes - Early-7",2,"Row 2","Row Feet",25,"4","Potatoes - Early-May-4","Potatoes - Early-May-4-Row 2","Row 2-4-Jul","cpmy_40","Solanaceae","A","Potatoes","N","N","N","N",12,2
